sid,name,addr
1,7-ELEVEN(711 的商戶號)(),
2,7-ELEVEN(國賓)(228167),台北市中山區中山北路二段71號1樓
3,7-ELEVEN(權東)(255011),台北市中山區民權東路三段71號73號1樓
4,7-ELEVEN(京育)(232041),台北市松山區南京東路四段66號寧安街68巷25號
5,7-ELEVEN(公岩)(155496),台北市北投區公館路259號1樓
6,7-ELEVEN(政戰)(197995),台北市北投區中央北路二段15號17號
7,7-ELEVEN(新愛國)(185279),台北市中正區延平南路177號
8,7-ELEVEN(新南)(148236),台北市中正區新生南路一段126-7號
9,7-ELEVEN(新晴光)(262341),台北市中山區雙城街30號1樓
10,7-ELEVEN(信吉)(262444),台北市信義區永吉路278巷58弄2號
11,7-ELEVEN(百齡)(216991),台北市北投區石牌路一段37號
12,7-ELEVEN(千翔)(110817),台北市中正區許昌街17號1樓
13,7-ELEVEN(大中)(187552),台北市北投區中央南路一段114號
14,7-ELEVEN(瑞鑫)(985707),台北市內湖區瑞光路580號
15,7-ELEVEN(建欣)(254926),台北市中山區建國北路二段13號1樓
16,7-ELEVEN(長鴻)(991850),台北市內湖區大湖山莊街219巷6號8號1樓
17,7-ELEVEN(英雄館)(202512),台北市中正區長沙街一段20號1樓
18,7-ELEVEN(朝福)(215758),台北市松山區三民路115號
19,7-ELEVEN(朱崙)(237530),台北市中山區復興北路56號58號1樓
20,7-ELEVEN(松禾)(990352),台北市松山區塔悠路31號33號
22,7-ELEVEN(新格蘭)(119582),台北市中正區衡陽路27號
23,7-ELEVEN(濱江)(237149),台北市中山區龍江路356巷39及41號1樓
24,7-ELEVEN(光中)(935805),台北市北投區光明路122號
25,7-ELEVEN(婦聯)(173531),台北市松山區健康路224號
26,7-ELEVEN(大吉)(196660),台北市中山區吉林路97號99號1樓
27,7-ELEVEN(吉祥)(236825),台北市松山區八德路四段245巷52弄31號
28,7-ELEVEN(清江)(250614),台北市北投區公館路165號1樓.165-1號B1
29,7-ELEVEN(瑞富)(166094),台北市內湖區瑞光路188巷51號1樓
30,7-ELEVEN(長新)(136842),台北市中山區長安東路一段75號1樓
31,7-ELEVEN(富港)(252883),台北市內湖區港墘路46號48號1樓
32,7-ELEVEN(原中)(833077),台北市中山區中原街121號1樓、新生北路三段3巷41號2樓
33,7-ELEVEN(德金)(252481),台北市中正區八德路一段29號
34,7-ELEVEN(鑫杭)(972321),台北市中正區杭州南路一段23號
35,7-ELEVEN(松饒)(883223),台北市松山區慈祐里八德路四段767號769號
36,7-ELEVEN(星成)(189400),台北市內湖區星雲街17號17-1號
37,7-ELEVEN(成功)(860770),台北市內湖區成功路二段252號
38,7-ELEVEN(達人)(239695),台北市內湖區內湖路二段249號251號
39,7-ELEVEN(新大直)(185051),台北市中山區北安路621巷48號
40,7-ELEVEN(東鑫)(164803),台北市松山區民生東路四段55巷10號
41,7-ELEVEN(風復)(262020),台北市松山區復興南路一段43號1樓
42,7-ELEVEN(復安)(240651),台北市松山區民生東路三段130巷2之1號1樓
43,7-ELEVEN(福瀛)(167466),台北市北投區西安街二段345號1樓
44,7-ELEVEN(六福)(136406),台北市萬華區漢口街二段73號1樓
